id,Selling_Price,km_Driven,City_Code,State_Code,Fuel,Seller_Type,Transmission,Owner,Mileage,Engine,Max_Power,Seats,Region_code,Sales_status
7422,350000,120000,6,5,1,1,1,2,12.2,2499,80,10,3,0
7423,350000,120000,4,13,1,1,1,2,18.2,1248,73.8,8,3,0
7424,450000,120000,26,3,1,1,1,2,12.05,2179,120,9,1,0
7425,370000,120000,6,5,1,1,1,0,18.2,1248,73.8,8,3,0
7426,750000,120000,26,3,1,1,1,0,12.05,2179,120,8,1,0
7427,65000,120000,2,12,3,1,1,2,16.1,796,37,4,3,0
7428,434000,120000,3,12,1,1,1,0,13.58,2499,72.4,10,3,0
7429,125000,120000,15,11,1,1,1,4,12.7,2609,116.6,8,5,0
7430,500000,120000,20,14,1,1,1,4,15.96,2523,62.1,9,0,0
7431,450000,120000,8,17,1,1,1,0,25.32,1198,77,6,4,0
7432,454000,120000,5,10,1,1,1,2,13.58,2499,72.4,10,4,0
7433,620000,120000,10,2,1,1,1,0,13.58,2499,72.4,10,2,0
7434,620000,120000,15,11,1,1,1,0,13.58,2499,72.4,10,5,0
7435,357000,120000,16,2,1,1,1,0,25.32,1198,77,6,2,0
7436,150000,120000,26,3,1,1,1,0,12.2,1948,68,9,1,0
7437,450000,120000,14,8,1,1,1,2,12.05,2179,120,9,1,0
7438,1689999,120000,15,11,1,1,1,0,13.68,2393,147.8,8,5,0
7439,1100000,120000,5,10,1,1,1,0,12.99,2494,100.6,8,4,0
7440,40000,120000,9,4,3,1,1,0,16.1,796,37,4,3,0
7441,64000,18000,6,5,3,0,1,0,25.4,624,37.5,4,3,1
7442,1350000,94385,26,3,1,0,1,0,12.99,2494,100.6,8,1,1
7443,3750000,56000,23,5,1,0,0,0,11.2,2993,241,4,3,1
7444,1925000,43000,1,7,1,0,0,0,11.36,2755,171.5,8,2,1
7445,6000000,28156,27,3,1,0,0,0,17.09,2993,261.4,4,1,1
7446,1560000,20102,8,17,1,0,1,0,13.68,2393,147.51,8,4,1
7447,1800000,20000,8,17,1,0,0,0,11.36,2755,171.5,8,4,1
7448,900000,26235,4,13,1,0,1,0,16.55,2498,105,6,3,1
7449,65000,26432,15,11,3,0,1,0,25.4,624,37.48,4,5,0
7450,220000,46702,12,1,3,0,1,0,16.8,796,34.2,8,1,0
7451,220000,46706,4,13,3,0,1,0,16.8,796,34.2,8,3,0
7452,65000,56432,7,16,3,0,1,0,16.1,796,37,4,1,0
7453,60000,52365,12,1,3,0,1,2,16.1,796,37,4,1,0
7454,680000,95000,1,7,1,0,1,0,12.99,2494,100.6,8,2,0
7455,445000,63000,3,12,1,0,1,0,15.3,2956,83.8,9,3,0
7456,500000,121941,11,15,1,0,1,0,12.8,2494,102,8,0,0
7457,650000,89580,2,12,1,0,1,2,12.8,2494,102,8,3,0
7458,480000,85472,16,2,1,0,1,0,12.05,2179,120,8,2,0
7459,3750000,56000,12,1,1,0,0,0,11.2,2993,241,4,1,0
7460,1925000,43000,13,2,1,0,0,0,11.36,2755,171.5,8,2,0
7461,6000000,28156,0,7,1,0,0,0,17.09,2993,261.4,4,2,0
7462,250000,55000,4,13,3,0,0,0,21.9,624,37.48,4,3,0
7463,6000000,27000,16,2,1,0,0,0,17.09,2993,261.4,4,2,0
7464,911000,155000,23,5,1,0,1,0,12.8,2494,102,8,3,0
7465,445000,63000,1,7,1,0,1,0,15.3,2956,83.8,9,2,0
7466,975000,12584,25,7,1,0,1,0,16.55,2498,105,6,2,0
7467,1000000,17000,6,5,1,0,1,0,17.3,1497,121,8,3,0
7468,1800000,20000,21,6,1,0,0,0,11.36,2755,171.5,8,0,0
7469,695000,34000,8,17,1,0,1,0,21.04,1461,83.8,8,4,0
7470,1789999,36000,18,4,1,0,1,0,13.68,2393,147.8,8,3,0
7471,900000,12000,16,2,1,0,1,0,16.55,2498,105,6,2,0
7472,620000,7000,12,1,1,0,1,0,21.04,1461,83.8,8,1,0
7473,330000,10000,9,4,0,1,1,2,33.44,796,40.3,4,3,1
7474,450000,15000,15,11,3,1,1,2,18.15,1198,82,6,5,1
7475,700000,40000,13,2,1,1,1,2,16.55,2498,105,6,2,1
7476,535000,21000,1,7,3,1,1,2,18.15,1198,82,6,2,1
7477,45000,10000,3,12,3,1,1,4,26,624,35,4,3,1
7478,600000,90000,5,10,1,1,1,2,13.58,2499,72.4,9,4,1
7479,320000,175000,28,12,1,1,1,4,15.96,2523,63,9,3,1
7480,340000,110000,22,4,1,1,1,2,15.96,2523,63,9,3,1
7481,409999,60000,16,2,1,1,1,2,12.2,1994,105.3,10,2,1
7482,440000,90000,0,7,1,1,0,2,18.1,1991,147.9,4,2,1
7483,575000,70000,25,7,1,1,1,2,13.58,2499,72.4,9,2,1
7484,550000,80000,9,4,1,1,1,2,15.96,2523,63,9,3,1
7485,55000,50000,8,17,3,1,1,4,26,624,35,4,4,1
7486,550000,180000,2,12,1,1,1,4,15.96,2523,62.1,9,3,1
7487,150000,225000,27,3,1,1,1,4,14,1948,90,9,1,1
7488,600000,80000,13,2,1,1,1,2,13.58,2499,72.4,9,2,1
7489,650000,110000,26,3,1,1,1,2,15.4,2523,75,9,1,0
7490,305000,230000,10,2,1,1,1,2,13.58,2499,72.4,9,2,0
7491,525000,70000,3,12,1,1,1,2,16.55,2498,105,6,3,0
7492,475000,128000,26,3,1,1,1,4,15.96,2523,63,9,1,0
7493,580000,110000,10,2,1,1,1,2,13.58,2499,72.4,10,2,0
7494,350000,49600,21,6,1,1,1,2,25.32,1198,77,6,0,0
7495,850000,15000,23,5,1,1,1,2,16.55,2498,105,6,3,0
7496,850000,15000,20,14,1,1,1,2,16.55,2498,105,6,0,0
7497,66000,70000,21,6,3,1,1,4,23.9,624,37.48,4,0,0
7498,360000,100000,0,7,1,1,1,2,25.32,1198,77,6,2,0
7499,509999,165500,4,13,1,1,1,2,14,2523,75,9,3,0
7500,60000,40000,19,15,3,1,1,2,25.4,624,38,4,0,0
7501,520000,110000,25,7,1,1,1,2,12.05,2179,120,9,2,0
7502,550000,80000,1,7,1,1,1,2,16.55,2498,105,6,2,0
7503,440000,90000,3,12,1,1,0,2,18.1,1991,147.9,4,3,0
7504,425000,70000,8,17,1,1,1,2,25.32,1198,77,6,4,0
7505,430000,80000,22,4,1,1,0,2,18.1,1991,147.9,4,3,0
